date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:07	56590/56590	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Jan%202026%2007:05:09%20GMT	https://cb.venoplus8.com/aff/afftools.php	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/aff/afftools.html	(from )
12:05:08	241/241	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:10%20GMT	https://cb.venoplus8.com/robots.txt		(from )
12:05:08	295/295	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Jan%202026%2007:05:10%20GMT	https://cb.venoplus8.com/aff/	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/aff/index.html	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:08	162720/162720	---MCZ	200	added ('OK')	text/css	etag:W/%2227ba0-OW9RszP/bwkm9uZ61ubJxpvqezE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/affiliate/cdn.jsdelivr.net/npm/bootstrap@5.1.0/dist/css/bootstrap.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:08	155543/155543	---MCZ	200	added ('OK')	text/css	etag:W/%22835a9a4789de20667cadd9e586cff528%22	https://cdn.truegcloud.com/scripts/skeleton.min.css	C:/My%20Web%20Sites/affiliate/cdn.truegcloud.com/scripts/skeleton.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:09	54998/54998	---MCZ	200	added ('OK')	text/css	etag:W/%22edd84d47691f748dbd6414c9c0234d78%22	https://cdn.truegcloud.com/scripts/all.min.css	C:/My%20Web%20Sites/affiliate/cdn.truegcloud.com/scripts/all.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:11	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2026%20Jan%202026%2007:05:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/affiliate/www.googletagmanager.com/gtm.45445.delayed	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:11	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	https://cdn.truegcloud.com/scripts/jquery.1.9.1.min.js	C:/My%20Web%20Sites/affiliate/cdn.truegcloud.com/scripts/jquery.1.9.1.min.js	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:13	353145/353145	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2026%20Jan%202026%2007:05:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/affiliate/connect.facebook.net/en_US/fbevents.js	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:13	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/skeleton.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/skeleton.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:14	54998/54998	---M-Z	200	added ('OK')	text/css	etag:%22d6d6-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/all.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/all.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:14	303/303	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:16%20GMT	https://cb.venoplus8.com/css/fontawesome.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/fontawesome.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:15	299/299	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:17%20GMT	https://cb.venoplus8.com/css/regular.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/regular.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:15	297/297	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:17%20GMT	https://cb.venoplus8.com/css/solid.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/solid.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:15	298/298	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:18%20GMT	https://cb.venoplus8.com/css/brands.min.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/brands.min.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:16	12212/12212	---M-Z	200	added ('OK')	text/css	etag:%222fb4-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/main.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/main.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:16	3881/3881	---M-Z	200	added ('OK')	text/css	etag:%22f29-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/atc.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/atc.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:17	18017/18017	---M-Z	200	added ('OK')	text/css	etag:%224661-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/landerstyle.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/landerstyle.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:17	14318/14318	---M-Z	200	added ('OK')	text/css	etag:%2237ee-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/affstyle.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/affstyle.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:17	2002/2002	---M-Z	200	added ('OK')	text/css	etag:%227d2-647afb08acfc0-gzip%22	https://cb.venoplus8.com/css/affstyle-new.css	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/css/affstyle-new.css	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:18	288/288	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jan%202026%2007:05:20%20GMT	https://cb.venoplus8.com/aff/POST	C:/My%20Web%20Sites/affiliate/cb.venoplus8.com/aff/POST	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:19	49121/49121	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Jan%202026%2002:55:58%20GMT	https://simplepromise.com/cdn/shop/files/logo_352x.png?v=1613178340	C:/My%20Web%20Sites/affiliate/simplepromise.com/cdn/shop/files/logo_352x4dcf.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:21	871693/871693	---M--	200	added ('OK')	image/png	etag:%227235229aa5083d64066c13f7d1fbedf3%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/bottle-mention02.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/bottle-mention02.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:21	155414/155414	---M--	200	added ('OK')	image/png	etag:%229060e80859304653406799af2035718d%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-09.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-09.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:22	165322/165322	---M--	200	added ('OK')	image/png	etag:%224e4c61a1759688496797900f005c654a%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-10.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-10.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:23	173390/173390	---M--	200	added ('OK')	image/png	etag:%223055a2fb072c3601836ed0c808bdef14%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-11.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-11.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:23	182961/182961	---M--	200	added ('OK')	image/png	etag:%22988812f7dbff54b00c0a88404af617de%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/MenaQ7-0.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/MenaQ7-0.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:24	23012/23012	---M--	200	added ('OK')	image/jpeg	etag:%22eba873363655c26c40e60f9bd34b2fa8%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-03.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-03.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:05:24	24415/24415	---M--	200	added ('OK')	image/jpeg	etag:%22e8a202c89e20937170a7e2a19d239e21%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-04.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/ecomm-sl/vp8-ecomm-04.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:19	7842717/7842717	---M--	200	added ('OK')	image/jpeg	etag:%225bdc72acffb7c2453433034e769f05b1%22	https://cdn.truegcloud.com/venoplus8/images/fe/Hesperidin.jpg	C:/My%20Web%20Sites/affiliate/cdn.truegcloud.com/venoplus8/images/fe/Hesperidin.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:19	6900211/6900211	---M--	200	added ('OK')	image/jpeg	etag:%22be234cef189d0318e74ff251599ee707%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/magnesium.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/magnesium.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:19	4280747/4280747	---M--	200	added ('OK')	image/jpeg	etag:%22c11a05edc8f0c636cd171c45abb64b54%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/L-citrulline.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/L-citrulline.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:32	776037/776037	---M--	200	added ('OK')	image/jpeg	etag:%22db74603a88aebb10a913d1ca0a080510%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/aff/grapeseedoil-2.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/aff/grapeseedoil-2.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:32	2657051/2657051	---M--	200	added ('OK')	image/jpeg	etag:%22c5b80b27b202dc83edcaef43dbc06ad2%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/L-taurine.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/L-taurine.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:38	524776/524776	---M--	200	added ('OK')	image/png	etag:%227219c9fde82c282e5bc1f8ce3d02cbf6%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-1.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-1.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:38	612351/612351	---M--	200	added ('OK')	image/png	etag:%2207b5fa188349e4fb890ba2cf8dc9036c%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-2.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-2.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:41	189717/189717	---M--	200	added ('OK')	image/png	etag:%222f2e6934918df582f6f54037ef063078%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-3.png	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/fe/venoplus8-slider-3.png	(from https://cb.venoplus8.com/aff/afftools.php)
12:06:41	64086/64086	---M--	200	added ('OK')	image/jpeg	etag:%229509fb04fe0e268d7c8aad4f9433179e%22	https://tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/aff/p2.jpg	C:/My%20Web%20Sites/affiliate/tgenics-cdn.s3.ap-southeast-1.amazonaws.com/venoplus8/images/aff/p2.jpg	(from https://cb.venoplus8.com/aff/afftools.php)
